,frame,action,voltageapplied,channel,booleankeyframe
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,0,zeroed,0.0,Dev1/ao0,1
0,1,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,1,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,2,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,3,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,4,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,5,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,6,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,7,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,8,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,9,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,10,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,11,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,12,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,13,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,14,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.0
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.006411
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.012821
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.019232
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.025643
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.032053
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.038464
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.044875
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.051285
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.057696
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.064107
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.070517
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.076928
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.083339
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.08975
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.09616
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.102571
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.108982
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.115392
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.121803
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,15,load,"4    0.128214
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.128214
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.115392
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.102571
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.08975
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.076928
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.064107
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.051285
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.038464
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.025643
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.012821
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
0,16,zeroed,"4    0.0
dtype: float64",Dev1/ao0,1
